S.No,Station,Lat,Long
1,Akkihebbal,12.5,76.5
2,Annavasal,11,80
3,Bendrehalli,12,77
4,Biligundulu,12.25,77.75
5,Chunchunkatte,12.5,76.25
6,E-Managalam,11,78
7,Gopurajapuram,10.75,79.75
8,Hogenakkal,12,77.75
9,K.M.Vadi,12.25,76.25
10,Kanakpura,12.5,77.5
11,Kodumudi,11,78
12,Kollegal,12.25,77
13,Kudige,12.5,76
14,Kudlur,11.75,77.5
15,M.H.Halli,12.75,76.25
16,Menangudi,11,79.75
17,Musiri,11,78.5
18,Muthankera,11.75,76
19,Nalammaranpatti,11,78
20,Nallathur,11,79.75
21,Nellithurai,11.25,77
22,Peralam,11,79.75
23,Porakudi,11,79.75
24,Sakleshpur,13,75.75
25,Savandapur,11.5,77.5
26,Sevanur,11.5,77.75
27,T.Bekuppe,12.5,77.5
28,T.Narasipur,12.25,77
29,T.K.Halli,12.5,77.25
30,Thengudi,11,79.75
31,Thengumarahada,11.5,77
32,Thevur,11.5,77.75
33,Thimmanahalli,13,76
34,Thoppur,12,78
35,Urachikottai,11.5,77.75